Week,remote work: (United States)
3/4/18,28
3/11/18,34
3/18/18,32
3/25/18,32
4/1/18,30
4/8/18,24
4/15/18,31
4/22/18,26
4/29/18,30
5/6/18,28
5/13/18,29
5/20/18,30
5/27/18,34
6/3/18,31
6/10/18,32
6/17/18,32
6/24/18,35
7/1/18,33
7/8/18,32
7/15/18,34
7/22/18,33
7/29/18,36
8/5/18,36
8/12/18,32
8/19/18,35
8/26/18,31
9/2/18,33
9/9/18,36
9/16/18,35
9/23/18,33
9/30/18,34
10/7/18,32
10/14/18,33
10/21/18,32
10/28/18,35
11/4/18,33
11/11/18,38
11/18/18,41
11/25/18,36
12/2/18,38
12/9/18,37
12/16/18,36
12/23/18,43
12/30/18,40
1/6/19,40
1/13/19,37
1/20/19,41
1/27/19,38
2/3/19,32
2/10/19,32
2/17/19,38
2/24/19,33
3/3/19,35
3/10/19,31
3/17/19,35
3/24/19,32
3/31/19,33
4/7/19,28
4/14/19,34
4/21/19,31
4/28/19,29
5/5/19,29
5/12/19,31
5/19/19,28
5/26/19,34
6/2/19,35
6/9/19,34
6/16/19,35
6/23/19,37
6/30/19,34
7/7/19,37
7/14/19,37
7/21/19,34
7/28/19,35
8/4/19,35
8/11/19,35
8/18/19,39
8/25/19,33
9/1/19,33
9/8/19,31
9/15/19,31
9/22/19,33
9/29/19,34
10/6/19,36
10/13/19,35
10/20/19,34
10/27/19,36
11/3/19,37
11/10/19,37
11/17/19,39
11/24/19,38
12/1/19,37
12/8/19,34
12/15/19,39
12/22/19,44
12/29/19,42
1/5/20,37
1/12/20,38
1/19/20,39
1/26/20,37
2/2/20,38
2/9/20,38
2/16/20,37
2/23/20,33
3/1/20,38
3/8/20,57
3/15/20,80
3/22/20,72
3/29/20,61
4/5/20,55
4/12/20,52
4/19/20,51
4/26/20,52
5/3/20,53
5/10/20,55
5/17/20,58
5/24/20,53
5/31/20,50
6/7/20,56
6/14/20,55
6/21/20,51
6/28/20,51
7/5/20,55
7/12/20,58
7/19/20,58
7/26/20,60
8/2/20,61
8/9/20,56
8/16/20,62
8/23/20,52
8/30/20,50
9/6/20,50
9/13/20,52
9/20/20,50
9/27/20,45
10/4/20,45
10/11/20,46
10/18/20,49
10/25/20,53
11/1/20,40
11/8/20,49
11/15/20,57
11/22/20,49
11/29/20,59
12/6/20,60
12/13/20,52
12/20/20,50
12/27/20,58
1/3/21,51
1/10/21,48
1/17/21,54
1/24/21,58
1/31/21,50
2/7/21,52
2/14/21,52
2/21/21,48
2/28/21,46
3/7/21,45
3/14/21,42
3/21/21,48
3/28/21,48
4/4/21,49
4/11/21,45
4/18/21,48
4/25/21,47
5/2/21,47
5/9/21,58
5/16/21,52
5/23/21,49
5/30/21,53
6/6/21,60
6/13/21,50
6/20/21,59
6/27/21,58
7/4/21,55
7/11/21,60
7/18/21,56
7/25/21,60
8/1/21,59
8/8/21,61
8/15/21,60
8/22/21,63
8/29/21,55
9/5/21,63
9/12/21,60
9/19/21,69
9/26/21,60
10/3/21,64
10/10/21,62
10/17/21,61
10/24/21,66
10/31/21,61
11/7/21,64
11/14/21,63
11/21/21,58
11/28/21,66
12/5/21,71
12/12/21,63
12/19/21,57
12/26/21,67
1/2/22,97
1/9/22,88
1/16/22,83
1/23/22,88
1/30/22,88
2/6/22,83
2/13/22,85
2/20/22,82
2/27/22,81
3/6/22,90
3/13/22,80
3/20/22,74
3/27/22,85
4/3/22,82
4/10/22,84
4/17/22,83
4/24/22,80
5/1/22,78
5/8/22,84
5/15/22,78
5/22/22,79
5/29/22,91
6/5/22,90
6/12/22,87
6/19/22,90
6/26/22,89
7/3/22,89
7/10/22,94
7/17/22,100
7/24/22,90
7/31/22,93
8/7/22,96
8/14/22,93
8/21/22,91
8/28/22,89
9/4/22,88
9/11/22,84
9/18/22,86
9/25/22,83
10/2/22,85
10/9/22,84
10/16/22,91
10/23/22,90
10/30/22,83
11/6/22,83
11/13/22,90
11/20/22,75
11/27/22,88
12/4/22,83
12/11/22,83
12/18/22,71
12/25/22,87
1/1/23,98
1/8/23,99
1/15/23,97
1/22/23,98
1/29/23,91
2/5/23,92
2/12/23,90
2/19/23,91